date,LTD,strike,c_or_p,open,high,low,close,Final_p,volume,OI,weekdays
2017/10/26,Dec-17,10400,put,78,83,71,75,75,518,3730,Thursday
2017/10/26,Dec-17,10500,call,308,328,299,314,314,35,858,Thursday
2017/10/26,Dec-17,10500,put,106,108,93,98,98,542,3170,Thursday
2017/10/26,Dec-17,10600,call,237,259,227,247,247,136,1951,Thursday
2017/10/26,Dec-17,10600,put,132,139,122,128,128,226,1262,Thursday
2017/10/26,Dec-17,10700,call,179,194,167,183,183,291,1973,Thursday
2017/10/26,Dec-17,10700,put,171,178,158,163,163,398,1364,Thursday
2017/10/26,Dec-17,10800,call,123,140,119,128,128,572,7767,Thursday
2017/10/26,Dec-17,10800,put,160,228,160,211,211,145,547,Thursday
2017/10/26,Dec-17,10900,call,81,95,77,82,82,367,6459,Thursday
2017/10/26,Dec-17,10900,put,273,283,257,266,266,33,608,Thursday
2017/10/26,Dec-17,1.10E+04,call,52,60,48,52,52,876,11084,Thursday
2017/10/26,Dec-17,1.10E+04,put,354,354,332,332,332,6,66,Thursday
2017/10/26,Dec-17,11100,call,31.5,36,27,31,31,744,7978,Thursday
2017/10/26,Dec-17,11200,call,17.5,20.5,15.5,17,17,540,13744,Thursday
2017/10/26,Dec-17,11200,put,525,525,492,492,500,2,21,Thursday
2017/10/26,Dec-17,11300,call,9.3,11,8.6,9.2,9.2,398,7300,Thursday
2017/10/26,Dec-17,11400,call,5.4,6.1,4.9,5.5,5.5,203,3955,Thursday
2017/10/26,Dec-17,11500,call,3.2,3.7,3.1,3.6,3.6,260,1165,Thursday
2017/10/26,Dec-17,11600,call,2.3,2.5,2.3,2.3,2.3,108,5773,Thursday
2017/10/26,Dec-17,11700,call,1.7,1.7,1.7,1.7,1.7,35,520,Thursday
2017/10/26,Dec-17,11800,call,1.4,1.4,1.3,1.3,1.3,48,1969,Thursday
2017/10/26,Dec-17,11900,call,1.1,1.1,1.1,1.1,1.1,32,372,Thursday
