date,LTD,strike,c_or_p,open,high,low,close,Final_p,volume,OI,weekdays
2014/9/16,2014-12,9800,call,53,53,41.5,41.5,41.5,342,9498,Tuesday
2014/9/16,2014-12,9800,put,650,670,620,670,695,16,298,Tuesday
2014/9/16,2014-12,10000,call,24,90,24,24,24,1272,11473,Tuesday
2014/9/16,2014-12,10000,put,790,850,790,850,870,22,185,Tuesday
2014/9/16,2014-12,10400,call,8.5,9,7.6,8.7,8.7,699,5759,Tuesday
2014/9/16,2014-12,10400,put,1170,1170,1170,1170,1260,3,62,Tuesday
2014/9/16,2014-12,10800,call,1.7,4.4,1.7,2.8,2.8,41,10288,Tuesday
2014/9/16,2014-12,10800,put,0,0,0,0,1650,0,40,Tuesday
2014/9/16,2014-12,11200,call,2,2,1.1,1.9,1.9,228,651,Tuesday
2014/9/16,2014-12,11200,put,0,0,0,0,2050,0,10,Tuesday
2014/9/16,2014-12,11600,call,1,1.2,1,1.2,1.2,156,315,Tuesday
2014/9/16,2014-12,11600,put,0,0,0,0,2450,0,20,Tuesday
2014/9/17,2014-09,6600,call,0,0,0,0,0,0,83,Wednesday
2014/9/17,2014-09,6600,put,0.2,0.2,0.2,0.2,0,3,7190,Wednesday
2014/9/17,2014-09,6700,call,0,0,0,0,0,0,0,Wednesday
2014/9/17,2014-09,6700,put,0,0,0,0,0,0,57,Wednesday
2014/9/17,2014-09,6800,call,0,0,0,0,0,0,39,Wednesday
2014/9/17,2014-09,6800,put,0,0,0,0,0,0,3494,Wednesday
2014/9/17,2014-09,6900,call,0,0,0,0,0,0,0,Wednesday
2014/9/17,2014-09,6900,put,0,0,0,0,0,0,24,Wednesday
2014/9/17,2014-09,7000,call,0,0,0,0,0,0,1,Wednesday
2014/9/17,2014-09,7000,put,0,0,0,0,0,0,4244,Wednesday
2014/9/17,2014-09,7100,call,0,0,0,0,0,0,0,Wednesday
2014/9/17,2014-09,7100,put,0,0,0,0,0,0,328,Wednesday
2014/9/17,2014-09,7200,call,0,0,0,0,0,0,2,Wednesday
2014/9/17,2014-09,7200,put,0.2,0.2,0.2,0.2,0,6,6264,Wednesday
2014/9/17,2014-09,7300,call,0,0,0,0,0,0,0,Wednesday
2014/9/17,2014-09,7300,put,0,0,0,0,0,0,363,Wednesday
2014/9/17,2014-09,7400,call,1820,1820,1820,1820,0,1,24,Wednesday
2014/9/17,2014-09,7400,put,0,0,0,0,0,0,4061,Wednesday
2014/9/17,2014-09,7500,call,0,0,0,0,0,0,2,Wednesday
2014/9/17,2014-09,7500,put,0,0,0,0,0,0,840,Wednesday
2014/9/17,2014-09,7600,call,0,0,0,0,0,0,282,Wednesday
2014/9/17,2014-09,7600,put,0.1,0.1,0.1,0.1,0,2,3092,Wednesday
2014/9/17,2014-09,7700,call,0,0,0,0,0,0,1,Wednesday
2014/9/17,2014-09,7700,put,0.1,0.1,0.1,0.1,0,10,716,Wednesday
2014/9/17,2014-09,7800,call,0,0,0,0,0,0,207,Wednesday
2014/9/17,2014-09,7800,put,0.1,0.1,0.1,0.1,0,1,3389,Wednesday
2014/9/17,2014-09,7900,call,0,0,0,0,0,0,5,Wednesday
2014/9/17,2014-09,7900,put,0,0,0,0,0,0,3461,Wednesday
2014/9/17,2014-09,8000,call,1200,1200,1200,1200,0,1,164,Wednesday
2014/9/17,2014-09,8000,put,0,0,0,0,0,0,7316,Wednesday
2014/9/17,2014-09,8100,call,0,0,0,0,0,0,0,Wednesday
2014/9/17,2014-09,8100,put,0,0,0,0,0,0,3413,Wednesday
2014/9/17,2014-09,8200,call,0,0,0,0,0,0,768,Wednesday
2014/9/17,2014-09,8200,put,0,0,0,0,0,0,9664,Wednesday
2014/9/17,2014-09,8300,call,0,0,0,0,0,0,2,Wednesday
2014/9/17,2014-09,8300,put,0,0,0,0,0,0,8710,Wednesday
2014/9/17,2014-09,8400,call,780,780,780,780,0,1,1528,Wednesday
2014/9/17,2014-09,8400,put,0.1,0.1,0.1,0.1,0,1,11815,Wednesday
2014/9/17,2014-09,8500,call,735,735,735,735,0,8,186,Wednesday
2014/9/17,2014-09,8500,put,0.1,0.1,0.1,0.1,0,21,10905,Wednesday
2014/9/17,2014-09,8600,call,590,645,575,575,0,62,1407,Wednesday
2014/9/17,2014-09,8600,put,0.3,0.3,0.1,0.2,0,43,21528,Wednesday
2014/9/17,2014-09,8700,call,0,0,0,0,0,0,648,Wednesday
2014/9/17,2014-09,8700,put,0.1,0.5,0.1,0.5,0,379,18124,Wednesday
2014/9/17,2014-09,8800,call,389,440,377,377,0,67,4789,Wednesday
2014/9/17,2014-09,8800,put,0.4,0.4,0.1,0.1,0,857,27484,Wednesday
2014/9/17,2014-09,8900,call,290,336,278,278,0,37,439,Wednesday
2014/9/17,2014-09,8900,put,0.4,0.4,0.1,0.1,0,1177,24926,Wednesday
2014/9/17,2014-09,8950,call,230,286,208,208,0,48,22,Wednesday
2014/9/17,2014-09,8950,put,0.2,0.4,0.1,0.2,0,397,2143,Wednesday
2014/9/17,2014-09,9000,call,189,249,158,172,0,1692,6462,Wednesday
2014/9/17,2014-09,9000,put,0.3,0.6,0.1,0.1,0,2743,41700,Wednesday
2014/9/17,2014-09,9050,call,128,196,108,122,0,1335,537,Wednesday
2014/9/17,2014-09,9050,put,0.5,0.8,0.1,0.1,0,3251,9065,Wednesday
